school_id,name,country,base_url,careers_link,ats_platform,confidence,notes,scraper_status
159,Whittier College,US,https://www.whittier.edu/,https://www.whittier.edu/humanresources/faculty,own website,medium,OK-2hop:OK:3,generic scraper
160,Adams State University,US,https://www.adams.edu/,https://adams.wd1.myworkdayjobs.com/ASU?jobFamilyGroup=17a14ea6887710013425d08f0be90001,Workday,high,OK-2hop:OK:9,adapter built
161,Colorado State University Global,US,https://csuglobal.edu/,https://faculty-csuglobal.icims.com/,iCIMS,high,OK-2hop:OK:6,adapter built
162,University of Colorado Boulder,US,https://www.colorado.edu/,https://jobs.colorado.edu/jobs/SearchJobs/?6110=13216702&6110_format=2267&listFilterMode=1,own website,high,OK-2hop:OK:8,generic scraper
163,Colorado College,US,https://www.coloradocollege.edu/,https://jobs.coloradocollege.edu/jobs/search?page=1&employment_type_uids%5B%5D=af4b3dfad1990996aeb4c3915f93088f&query=,own website,medium,OK-2hop:OK:5,generic scraper
165,University of Colorado Colorado Springs,US,https://www.uccs.edu/,https://cu.taleo.net/careersection/2/moresearch.ftl?lang=en&location=6300103016&portal=101430233&radius=1&radiusType=K&searchExpanded=true,Taleo,high,OK-2hop:OK:6,generic scraper (verified working)
166,Metropolitan State University of Denver,US,https://www.msudenver.edu/,https://msudenver.wd1.myworkdayjobs.com/MSUDenver?jobFamilyGroup=8d65815eea0f1001bc3bbe0cff1b0000,Workday,high,OK-2hop:OK:8,adapter built
167,Regis University,US,https://www.regis.edu/,https://regis.wd501.myworkdayjobs.com/en-US/RegisUniversity?workerSubType=fc38a5df8390014dab5ec5517918b909,Workday,high,OK-2hop:OK:8,adapter built
168,University of Colorado Denver/Anschutz Medical Campus,US,https://www.ucdenver.edu/,https://cu.taleo.net/careersection/2/moresearch.ftl?lang=en,Taleo,high,OK-2hop:OK:9,generic scraper (verified working)
169,University of Denver,US,https://www.du.edu/,https://jobs.du.edu/en-us/filter/?search=&search-keyword=&work-type=adjunct%20faculty&work-type=faculty%20full-time&job-mail-subscribe-privacy=agree,own website,medium,OK:5,generic scraper
170,Fort Lewis College,US,https://fortlewis.edu/,https://fortlewiscollege.wd1.myworkdayjobs.com/FLC,Workday,high,OK-2hop:OK:8,adapter built
171,Colorado State University-Fort Collins,US,https://colostate.edu/,https://csusystem.wd12.myworkdayjobs.com/fortcollins_careers?jobFamilyGroup=c42207b011c11000d2dd549d70320000&locations=c42207b011c11000e4a225433e0b0000,Workday,not_found,playwright_failed:Error,adapter built
172,Colorado School of Mines,US,https://www.mines.edu/,https://mines.wd1.myworkdayjobs.com/Mines_Careers?jobFamilyGroup=85a299df18611045ecca88cb10a70000,Workday,medium,OK-2hop:OK:5,adapter built
173,Colorado Mesa University,US,https://www.coloradomesa.edu/,https://coloradomesa.wd501.myworkdayjobs.com/CMUCareers?jobFamilyGroup=b27d1ee81d9410015e55e09cd01e0000,Workday,high,OK-2hop:OK:11,adapter built
174,University of Northern Colorado,US,https://www.unco.edu/,https://unco.csod.com/ux/ats/careersite/1/home?c=unco,Cornerstone OnDemand,high,OK:8,adapter built
175,Western Colorado University,US,https://www.western.edu/,https://western.wd1.myworkdayjobs.com/WESTERN?locations=f0acdfc60ce81008f9018ce54da70000&jobFamilyGroup=f0acdfc60ce81008d439787fbb740000,Workday,high,OK-2hop:OK:8,adapter built
